No.,Time,Source,Destination ,Protocol,Info
47,3.144521,198.51.100.23,192.0.2.1,TCP,42584->443 [SYN] Seq=0 Win-5792 Len=120...
48,3.195755,192.0.2.1,198.51.100.23,TCP,"443->42584 [SYN, ACK] Seq=0 Win-5792 Len=120..."
49,3.246989,198.51.100.23,192.0.2.1,TCP,42584->443 [ACK] Seq=1 Win-5792 Len=120...
50,3.298223,198.51.100.23,192.0.2.1,HTTP ,GET  /sales.html HTTP/1.1
51,3.349457,192.0.2.1,198.51.100.23,HTTP ,HTTP/1.1 200 OK (text/html)
52,3.390692,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
53,3.441926,192.0.2.1,203.0.113.0,TCP,"443->54770 [SYN, ACK] Seq=0 Win-5792 Len=120..."
54,3.49316,203.0.113.0,192.0.2.1,TCP,54770->443 [ACK Seq=1 Win=5792 Len=0...
55,3.544394,198.51.100.14,192.0.2.1,TCP,14785->443 [SYN] Seq=0 Win-5792 Len=120...
56,3.599628,192.0.2.1,198.51.100.14,TCP,"443->14785 [SYN, ACK] Seq=0 Win-5792 Len=120..."
57,3.664863,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
58,3.730097,198.51.100.14,192.0.2.1,TCP,14785->443 [ACK] Seq=1 Win-5792 Len=120...
59,3.795332,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win-5792 Len=120...
60,3.860567,198.51.100.14,192.0.2.1,HTTP ,GET  /sales.html HTTP/1.1
61,3.939499,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win-5792 Len=120...
62,4.018431,192.0.2.1,198.51.100.14,HTTP ,HTTP/1.1 200 OK (text/html)
63,4.097363,198.51.100.5,192.0.2.1,TCP,33638->443 [SYN] Seq=0 Win-5792 Len=120...
64,4.176295,192.0.2.1,203.0.113.0,TCP,"443->54770 [SYN, ACK] Seq=0 Win-5792 Len=120..."
65,4.255227,192.0.2.1,198.51.100.5,TCP,"443->33638 [SYN, ACK] Seq=0 Win-5792 Len=120..."
66,4.256159,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
67,5.235091,198.51.100.5,192.0.2.1,TCP,33638->443 [ACK] Seq=1 Win-5792 Len=120...
68,5.236023,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
69,5.236955,198.51.100.16,192.0.2.1,TCP,32641->443 [SYN] Seq=0 Win-5792 Len=120...
70,5.237887,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
71,6.228728,198.51.100.5,192.0.2.1,HTTP ,GET  /sales.html HTTP/1.1
72,6.229638,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
73,6.230548,192.0.2.1,198.51.100.16,TCP,"443->32641 [RST, ACK] Seq=0 Win-5792 Len=120..."
74,6.330539,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
75,6.330885,198.51.100.7,192.0.2.1,TCP,42584->443 [SYN] Seq=0 Win=5792 Len=0...
76,6.331231,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
77,7.330577,192.0.2.1,198.51.100.5,TCP,HTTP/1.1 504 Gateway Time-out (text/html)
78,7.351323,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
79,7.360768,198.51.100.22,192.0.2.1,TCP,6345->443 [SYN] Seq=0 Win=5792 Len=0...
80,7.380773,192.0.2.1,198.51.100.7,TCP,"443->42584 [RST, ACK] Seq=1 Win-5792 Len=120..."
81,7.380878,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
82,7.383879,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
83,7.482754,192.0.2.1,203.0.113.0,TCP,"443->54770 [RST, ACK] Seq=1 Win=5792 Len=0..."
84,7.581629,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
85,7.680504,192.0.2.1,198.51.100.22,TCP,"443->6345 [RST, ACK] Seq=1 Win=5792 Len=0..."
86,7.709377,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
87,7.738241,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
88,7.767105,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
89,13.895969,192.0.2.1,203.0.113.0,TCP,"443->54770 [RST, ACK] Seq=1 Win=5792 Len=0..."
90,13.919832,203.0.113.0,192.0.2.1,TCP,54770->443 [SYN] Seq=0 Win=5792 Len=0...
